skill,experience,level,tip,date
Install RStudio,5,1,Download from RStudio website,Apr-17
Install R,5,1,,Apr-17
Install R packages,5,1,"CRAN install.packages(), GitHub devtools, Jan-19 remotes ",Apr-17
Load Packages,5,1,,Apr-17
Update RStudio,5,1,Nov-18 RStudio packages tab,Apr-17
Update R,3,1,,Apr-17
Update R packages,5,3,,Nov-18
Basic debugging,3,1,"Apr-17 Misspelling and punctuation errors, traceback()",Apr-17
Browser debugging,1,3,debug(),
